description,symbol
KOENIG & BAUER AG,SKB.DE
DISCOVERY INC-B,DC6B.DE
VERINT SYSTEMS INC,VTY.DE
BANKWELL FINANCIAL GROUP INC,33W.DE
ILLINOIS TOOL WORKS,ILT.DE
GOING PUBLIC MEDIA AG,G6P.DE
REPSOL SA,REP.DE
GEA GROUP AG,G1A.DE
USU SOFTWARE AG,OSP2.DE
HELLOFRESH SE,HFG.DE
WT PRECIOUS METALS,OD73.DE
HOMES & HOLIDAY AG,HHH.DE
PSI SOFTWARE AG,PSAN.DE
RIGA JEWELRY,W7E.DE
CROWN HOLDINGS INC,CWN.DE
SAN LEON ENERGY PLC,SZX1.DE
INDUS HOLDING AG,INH.DE
PFEIFFER VACUUM TECHNOLOGY,PFV.DE
RAYTHEON TECHNOLOGIES CORP,5UR.DE
KRAFT HEINZ CO/THE,KHNZ.DE
L BRANDS INC,LTD.DE
SVB FINANCIAL GROUP,SV4.DE
DEMIRE DT MTS REAL ESTATE AG,DMRE.DE
SMT SCHARF AG,S4A.DE
MARATHON OIL CORP,USS.DE
SCHWAB (CHARLES) CORP,SWG.DE
EQUINIX INC,EQN2.DE
4BASEBIO AG,2INV.DE
BIOTECHNOLOGY RESEARCH & INF,BNN.DE
XTRACKER OIL ETC EUR,XCTL.DE
MERCADOLIBRE INC,MLB1.DE
WT EURO STOXX50 3X DLY LVRGD,PCFD.DE
HAMBURGER HAFEN UND LOGISTIK,HHFA.DE
ROSS STORES INC,RSO.DE
ALTRA INDUSTRIAL MOTION CORP,XQB.DE
LUDWIG BECK AM RATHAUSECK,ECK.DE
REPSOL SA-SPONSORED ADR,REPA.DE
SWISS STEEL HOLDING AG,SSN.DE
ARTEC TECHNOLOGIES AG,A6T.DE
BEYOND MEAT INC,0Q3.DE
PELOTON INTERACTIVE INC-A,2ON.DE
WEST PHARMACEUTICAL SERVICES,WPS.DE
UNDER ARMOUR INC-CLASS A,U9R.DE
IVU TRAFFIC TECHNOLOGIES AG,IVU.DE
DERMAPHARM HOLDING SE,DMP.DE
WT EURO STX BNK 3X DLY LVRGD,0LJI.DE
HOLIDAYCHECK GROUP AG,HOC.DE
YUM CHINA HOLDINGS INC,0YU.DE
WT PHYSICAL GOLD-EUR DLY HDG,GBSE.DE
WYNN RESORTS LTD,WYR.DE
SHERWIN-WILLIAMS CO/THE,SJ3.DE
SBERBANK PJSC -SPONSORED ADR,SBNC.DE
LENZING AG,LEN.DE
CAMPBELL SOUP CO,CSC.DE
GERRESHEIMER AG,GXI.DE
DANAHER CORP,DAP.DE
SQUARE INC - A,SQ3.DE
DRAEGERWERK AG,DRW8.DE
SIEMENS ENERGY AG,ENR.DE
NEXR TECHNOLOGIES SE,NXR.DE
ALSTOM,AOMD.DE
JM SMUCKER CO/THE,JM2.DE
ENCAVIS AG-NEW,ECV1.DE
ANSYS INC,AKX.DE
METTLER-TOLEDO INTERNATIONAL,MTO.DE
WT SOYBEANS,OD7Q.DE
EDEL SE & CO KGAA,EDL.DE
LYX MSCI EM EX CHINA,EMXC.DE
CONSTELLATION BRANDS INC-A,CB1A.DE
CHURCH & DWIGHT CO INC,CXU.DE
MICROSOFT CORP,MSF.DE
BARRICK GOLD CORP,ABR.DE
SERVICENOW INC,4S0.DE
MOBOTIX AG,MBQ.DE
MEDIQON GROUP AG,MCE.DE
ERICSSON LM-B SHS,ERCB.DE
HOWMET AEROSPACE INC,48Z.DE
NAGA GROUP AG/THE,N4G.DE
AGUIA RESOURCES LTD,5N91.DE
S&T AG,SANT.DE
BNP PAR RICI ENH GAS OIL,BNQF.DE
WHIRLPOOL CORP,WHR.DE
MODERNA INC,0QF.DE
SCHNEIDER ELECTRIC SE,SND.DE
HEIDELBERG PHARMA AG,HPHA.DE
EMERSON ELECTRIC CO,EMR.DE
WT PHYSICAL PLATINUM,VZLA.DE
TOTAL PRODUCE PLC,T7O.DE
ZYNGA INC - CL A,ZY3.DE
CATERPILLAR INC,CAT1.DE
NETFLIX INC,NFC.DE
WELLS FARGO & CO,NWT.DE
DEUTSCHE BETEILIGUNGS AG,DBAN.DE
CHEGG INC,0CG.DE
PTC INC,PMTA.DE
GENERAL MILLS INC,GRM.DE
PHILIP MORRIS INTERNATIONAL,4I1.DE
M.A.X. AUTOMATION SE,MXHN.DE
ECOTEL COMMUNICATION AG,E4C.DE
SYNOPSYS INC,SYP.DE
ALNYLAM PHARMACEUTICALS INC,DUL.DE
GRAFTON GROUP PLC-UTS,GN5.DE
PACCAR INC,PAE.DE
PARKER HANNIFIN CORP,PAR.DE
LITHIA MOTORS INC-CL A,LMO.DE
GRAMMER AG,GMM.DE
BHP GROUP PLC,BIL.DE
SECUNET SECURITY NETWORKS AG,YSN.DE
WT WHEAT - EUR DAILY HEDGED,00XS.DE
NEWS CORP - CLASS B,NC0B.DE
FRESENIUS MEDICAL CARE-NEW,FMEN.DE
BNP PAR RICI ENH IND METALS,BNQV.DE
FCR IMMOBILIEN AG,FC9.DE
KEYCORP,KEY.DE
EXCEET GROUP SE,EXC.DE
BILFINGER SE,GBF.DE
SINGULUS TECHNOLOGIES-BR,SNG.DE
EPIGENOMICS AG,ECX.DE
GK SOFTWARE SE,GKS.DE
SPEARMINT RESOURCES INC,SQH.DE
HALLIBURTON CO,HAL.DE
WT WTI CRUDE 1X DLY SHORT,9GA7.DE
COMPUGROUP MEDICAL SE & CO K,COP.DE
AIR LIQUIDE SA,AIL.DE
SSE PLC,SCT.DE
ETFS EUR DAILY HEDGED PLAT,EHPT.DE
WESTWATER RESOURCES INC,UCCP.DE
STEINHOFF INTERNATIONAL H NV,SNH.DE
JDE PEET'S NV,JDE.DE
21SHARES BITCOIN SINGLE,21XB.DE
MAXIM INTEGRATED PRODUCTS,MXI.DE
BATHURST RESOURCES LTD,B0R.DE
FREENET AG,FNTN.DE
ERWE IMMOBILIEN AG,ERWE.DE
NXP SEMICONDUCTORS NV,VNX.DE
ELRINGKLINGER AG,ZIL2.DE
IFA SYSTEMS AG,IS8.DE
SAVANNAH RESOURCES PLC,SAV.DE
LUKOIL PJSC-SPON ADR,LUK.DE
WT LEAN HOGS,OD7J.DE
X IE PHYSICAL PLATINUM ETC,XPPT.DE
7C SOLARPARKEN AG,HRPK.DE
WT COFFEE,OD7B.DE
GENERAL ELECTRIC CO,GEC.DE
MEDICOVER AB - B SHARE,5M0B.DE
AKAMAI TECHNOLOGIES INC,AK3.DE
LLOYD FONDS AG,L1OA.DE
FRAPORT AG FRANKFURT AIRPORT,FRA.DE
SNP SCHNEIDER-NEUREITHER & P,SHF.DE
EQT CORP,EQ6.DE
VIB VERMOEGEN AG,VIH1.DE
BANCO BILBAO VIZCAYA-SP ADR,BBVA.DE
INTL CONSOLIDATED AIRLINE-DI,INR.DE
SPORTTOTAL AG,WIG1.DE
VONOVIA SE,VNA.DE
WT ALUMINIUM,OD7A.DE
JOHNSON & JOHNSON,JNJ.DE
HOME DEPOT INC,HDI.DE
GASOIL DIESEL ETC VON BNPP,B4N1.DE
LANXESS AG,LXS.DE
BNP PARIBAS ALUMINIUM ETC,B4NP.DE
WT NATURAL GAS,OD7L.DE
NEWLAT FOOD SPA,6NF.DE
BNPP HEATING OIL ETC,B4N3.DE
DUPONT DE NEMOURS INC,6D81.DE
SPIRIT AIRLINES INC,S64.DE
SUPREME CANNABIS CO INC/THE,53S1.DE
ASSICURAZIONI GENERALI,ASG.DE
MEDION AG,MDN.DE
SIMON PROPERTY GROUP INC,SQI.DE
MS INDUSTRIE AG,MSAG.DE
WT DAX 30 3X DAILY SHORT,3DES.DE
URBAN OUTFITTERS INC,UOF.DE
OMV AG,OMV.DE
CLOROX COMPANY,CXX.DE
IMPERIAL BRANDS PLC,ITB.DE
PURSUIT MINERALS LTD,RISA.DE
BAYERISCHE MOTOREN WERKE AG,BMW.DE
NAGARRO SE,NA9.DE
WT SOFTS,OD74.DE
BNP PAR ENHANCED NICKEL ER,0GZC.DE
KROGER CO,KOG.DE
DIAMONDBACK ENERGY INC,7DB.DE
HELIAD EQUITY PARTNERS GMBH,HPBK.DE
STATE STREET CORP,ZYA.DE
XETRA-GOLD,4GLD.DE
KIMBERLY-CLARK CORP,KMY.DE
AMADEUS FIRE AG,AAD.DE
R STAHL AG,RSL2.DE
HSBC HOLDINGS PLC,HBC1.DE
WT INDUS METALS ENHANCED,XMWJ.DE
BIOFRONTERA AG,B8F.DE
ARCHER-DANIELS-MIDLAND CO,ADM.DE
ARCONIC CORP,47I.DE
UNITED AIRLINES HOLDINGS INC,UAL1.DE
BNPP GASOLINE ETC,B4N2.DE
GUARDANT HEALTH INC,5GH.DE
STEICO SE,ST5.DE
METLIFE INC,MWZ.DE
WACKER CHEMIE AG,WCH.DE
SGL CARBON SE,SGL.DE
ENI SPA,ENI.DE
